CustomerID,Lookalikes
C0001,"[('C0152', 0.9999879625100291), ('C0056', 0.9996221446778911), ('C0107', 0.9991578791569153)]"
C0002,"[('C0199', 0.9993927667959704), ('C0010', 0.9989312888739291), ('C0142', 0.9944155885996512)]"
C0003,"[('C0178', 0.9999947067947413), ('C0035', 0.9996200777036762), ('C0146', 0.999519383305983)]"
C0004,"[('C0101', 0.9998309789789165), ('C0108', 0.9969891009721781), ('C0165', 0.9967935715957299)]"
C0005,"[('C0073', 0.9999758789813392), ('C0159', 0.9999496127620991), ('C0112', 0.9997908140881308)]"
C0006,"[('C0079', 0.9999955537602133), ('C0158', 0.9976257509021628), ('C0196', 0.9964357928159076)]"
C0007,"[('C0042', 0.9993975608236846), ('C0176', 0.9987592861767127), ('C0050', 0.9969560797190702)]"
C0008,"[('C0047', 0.9968216155134831), ('C0109', 0.9967738566864514), ('C0147', 0.994492237835428)]"
C0009,"[('C0077', 0.9993672486073996), ('C0076', 0.9966647038337605), ('C0103', 0.9964933011813216)]"
C0010,"[('C0002', 0.9989312888739291), ('C0199', 0.9967142224893453), ('C0195', 0.9929319397328474)]"
C0011,"[('C0107', 0.9998803723908499), ('C0183', 0.9998543226474514), ('C0016', 0.9997909660690724)]"
C0012,"[('C0155', 0.9998937521147672), ('C0108', 0.999210842032598), ('C0013', 0.9973545634416028)]"
C0013,"[('C0087', 0.9987018444547199), ('C0155', 0.9983081915487785), ('C0012', 0.9973545634416028)]"
C0014,"[('C0078', 1.0), ('C0130', 1.0), ('C0033', 1.0)]"
C0015,"[('C0095', 0.9983026287200278), ('C0144', 0.9977640908567915), ('C0074', 0.996571927122248)]"
C0016,"[('C0183', 0.9999942954373422), ('C0011', 0.9997909660690724), ('C0064', 0.9997453855881178)]"
C0017,"[('C0162', 0.9999903523660079), ('C0113', 0.9999860355368587), ('C0021', 0.998275583700909)]"
C0018,"[('C0187', 0.9998125136981274), ('C0149', 0.9990233002620372), ('C0148', 0.9975565925306688)]"
C0019,"[('C0084', 0.9923657159030835), ('C0139', 0.9862968067856791), ('C0156', 0.979307425464214)]"
C0020,"[('C0078', 1.0), ('C0130', 1.0), ('C0033', 1.0)]"
